Region,I: Electron Density SCF,,,,I: Volume,,,,I: Kinetic Energy Density SCF,,,,I: Electron Localization Function SCF,,,,I: Valence density,,,,I: Area Bader charge,,,,I: Deformation charge,,,,I: Deformation volume,,,,I: Deformation (kinetic) energy,,,,I: Deformation positive charge,,,,I: Deformation negative charge,,,,I: Deformation positive volume,,,,I: Deformation negative volume,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation (kinetic) negative energy,,,,I: Solid angle (alpha),,,,I: Te per electron,,,
Atomic basin decomposition,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆
C1,6.03792700,6.00929820,-0.02862880,-0.47414949,97.74770400,95.47215400,-2.27555000,-2.32798307,6.00184110,5.99550470,-0.00633640,-0.10557427,38.97427500,37.56029200,-1.41398300,-3.62799051,4.03792700,4.00929820,-0.02862880,-0.70899746,-0.03792699,-0.00929818,0.02862881,-75.48400601,-0.00000000,-0.00000000,-0.00000000,1200.91584596,0.00000001,0.00000001,-0.00000001,-54.70271209,-0.00000000,0.00000000,0.00000000,-112.43986730,1.25801670,1.29040350,0.03238680,2.57443323,-1.25801670,-1.29040350,-0.03238680,2.57443323,30.24598200,30.77488800,0.52890600,1.74868186,-30.24598200,-30.77488800,-0.52890600,1.74868186,0.71049470,0.72935844,0.01886374,2.65501488,-0.71049470,-0.72935844,-0.01886374,2.65501488,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6321.65470000,15.97120000,0.25328261,
C2,6.01395730,6.04296220,0.02900490,0.48229308,83.78501100,85.77947000,1.99445900,2.38044846,6.01534760,6.02293370,0.00758610,0.12611241,31.77995700,32.85132800,1.07137100,3.37121602,4.01395730,4.04296220,0.02900490,0.72260111,-0.01395729,-0.04296221,-0.02900492,207.81204112,-0.00000000,0.00000000,0.00000000,-2583.42898745,0.00000001,0.00000001,0.00000001,84.23028296,-0.00000000,-0.00000000,-0.00000000,195.29451530,1.28788690,1.26151290,-0.02637400,-2.04785063,-1.28788690,-1.26151290,0.02637400,-2.04785063,26.50697400,26.51019400,0.00322000,0.01214775,-26.50697400,-26.51019400,-0.00322000,0.01214775,0.74134652,0.72522552,-0.01612100,-2.17455664,-0.74134652,-0.72522552,0.01612100,-2.17455664,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6293.47200000,-46.30440000,-0.73037907,
C3,6.01395730,6.04296220,0.02900490,0.48229308,83.78501100,85.77947000,1.99445900,2.38044846,6.01534760,6.02293370,0.00758610,0.12611241,31.77995700,32.85132800,1.07137100,3.37121602,4.01395730,4.04296220,0.02900490,0.72260111,-0.01395729,-0.04296221,-0.02900492,207.81204112,-0.00000000,0.00000000,0.00000000,-2583.42898745,0.00000001,0.00000001,0.00000001,84.23028296,-0.00000000,-0.00000000,-0.00000000,195.29451530,1.28788690,1.26151290,-0.02637400,-2.04785063,-1.28788690,-1.26151290,0.02637400,-2.04785063,26.50697400,26.51019400,0.00322000,0.01214775,-26.50697400,-26.51019400,-0.00322000,0.01214775,0.74134652,0.72522552,-0.01612100,-2.17455664,-0.74134652,-0.72522552,0.01612100,-2.17455664,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6293.47200000,-46.30440000,-0.73037907,
C4,6.03792700,6.00929820,-0.02862880,-0.47414949,97.74770400,95.47215400,-2.27555000,-2.32798307,6.00184110,5.99550470,-0.00633640,-0.10557427,38.97427500,37.56029200,-1.41398300,-3.62799051,4.03792700,4.00929820,-0.02862880,-0.70899746,-0.03792699,-0.00929818,0.02862881,-75.48400601,-0.00000000,-0.00000000,-0.00000000,1200.91584596,0.00000001,0.00000001,-0.00000001,-54.70271209,-0.00000000,0.00000000,0.00000000,-112.43986730,1.25801670,1.29040350,0.03238680,2.57443323,-1.25801670,-1.29040350,-0.03238680,2.57443323,30.24598200,30.77488800,0.52890600,1.74868186,-30.24598200,-30.77488800,-0.52890600,1.74868186,0.71049470,0.72935844,0.01886374,2.65501488,-0.71049470,-0.72935844,-0.01886374,2.65501488,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6321.65470000,15.97120000,0.25328261,
H1,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,0.58300069,0.58157835,-0.00142234,-0.24396884,30.91078900,31.18304100,0.27225200,0.88076691,0.93725702,0.93272440,-0.00453262,-0.48360481,0.06274298,0.06727559,0.00453261,7.22409389,0.00000000,0.00000000,0.00000000,817.46789844,0.00000001,0.00000003,0.00000002,136.55758590,-0.00000000,-0.00000000,-0.00000000,498.71293127,0.33915394,0.33836081,-0.00079313,-0.23385546,-0.33915394,-0.33836081,0.00079313,-0.23385546,11.54828100,11.47761200,-0.07066900,-0.61194389,-11.54828100,-11.47761200,0.07066900,-0.61194389,0.16495464,0.16489091,-0.00006373,-0.03863486,-0.16495464,-0.16489091,0.00006373,-0.03863486,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3846.43400000,3.05220000,0.07941444,
H2,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,0.58810256,0.56319505,-0.02490751,-4.23523237,26.96586300,25.72010100,-1.24576200,-4.61977427,0.94851679,0.88653743,-0.06197936,-6.53434506,0.05148321,0.11346257,0.06197936,120.38752051,0.00000000,-0.00000000,-0.00000000,-121.47970340,-0.00000000,-0.00000003,-0.00000003,1687.30070979,0.00000000,0.00000000,0.00000000,277.68785215,0.33894044,0.33087019,-0.00807025,-2.38102305,-0.33894044,-0.33087019,0.00807025,-2.38102305,10.93194000,10.97712100,0.04518100,0.41329352,-10.93194000,-10.97712100,-0.04518100,0.41329352,0.16508359,0.16253575,-0.00254784,-1.54336358,-0.16508359,-0.16253575,0.00254784,-1.54336358,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3968.44240000,163.52700000,4.29778281,
H3,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,0.59058192,0.61539943,0.02481751,4.20221296,29.55499300,31.53236600,1.97737300,6.69048712,0.94551411,1.01126230,0.06574819,6.95369739,0.05448589,-0.01126232,-0.06574821,-120.67015661,0.00000000,-0.00000000,-0.00000000,-235.24696746,0.00000002,-0.00000001,-0.00000004,-145.59463020,0.00000000,0.00000000,-0.00000000,-84.00370209,0.33542159,0.33995569,0.00453410,1.35176152,-0.33542159,-0.33995569,-0.00453410,1.35176152,10.72877900,10.39864200,-0.33013700,-3.07711623,-10.72877900,-10.39864200,0.33013700,-3.07711623,0.16520926,0.16623809,0.00102883,0.62274354,-0.16520926,-0.16623809,-0.00102883,0.62274354,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3651.16980000,-164.62540000,-4.31431435,
H4,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,0.59058192,0.61539943,0.02481751,4.20221296,29.55499300,31.53236600,1.97737300,6.69048712,0.94551411,1.01126230,0.06574819,6.95369739,0.05448589,-0.01126232,-0.06574821,-120.67015661,0.00000000,-0.00000000,-0.00000000,-235.24696746,0.00000002,-0.00000001,-0.00000004,-145.59463020,0.00000000,0.00000000,-0.00000000,-84.00370209,0.33542159,0.33995569,0.00453410,1.35176152,-0.33542159,-0.33995569,-0.00453410,1.35176152,10.72877900,10.39864200,-0.33013700,-3.07711623,-10.72877900,-10.39864200,0.33013700,-3.07711623,0.16520926,0.16623809,0.00102883,0.62274354,-0.16520926,-0.16623809,-0.00102883,0.62274354,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3651.16980000,-164.62540000,-4.31431435,
H5,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,0.58300069,0.58157835,-0.00142234,-0.24396884,30.91078900,31.18304100,0.27225200,0.88076691,0.93725702,0.93272440,-0.00453262,-0.48360481,0.06274298,0.06727559,0.00453261,7.22409389,0.00000000,0.00000000,0.00000000,817.46789844,0.00000001,0.00000003,0.00000002,136.55758590,-0.00000000,-0.00000000,-0.00000000,498.71293127,0.33915394,0.33836081,-0.00079313,-0.23385546,-0.33915394,-0.33836081,0.00079313,-0.23385546,11.54828100,11.47761200,-0.07066900,-0.61194389,-11.54828100,-11.47761200,0.07066900,-0.61194389,0.16495464,0.16489091,-0.00006373,-0.03863486,-0.16495464,-0.16489091,0.00006373,-0.03863486,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3846.43400000,3.05220000,0.07941444,
H6,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,0.58810256,0.56319505,-0.02490751,-4.23523237,26.96586300,25.72010100,-1.24576200,-4.61977427,0.94851679,0.88653743,-0.06197936,-6.53434506,0.05148321,0.11346257,0.06197936,120.38752051,0.00000000,-0.00000000,-0.00000000,-121.47970340,-0.00000000,-0.00000003,-0.00000003,1687.30070979,0.00000000,0.00000000,0.00000000,277.68785215,0.33894044,0.33087019,-0.00807025,-2.38102305,-0.33894044,-0.33087019,0.00807025,-2.38102305,10.93194000,10.97712100,0.04518100,0.41329352,-10.93194000,-10.97712100,-0.04518100,0.41329352,0.16508359,0.16253575,-0.00254784,-1.54336358,-0.16508359,-0.16253575,0.00254784,-1.54336358,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3968.44240000,163.52700000,4.29778281,
